region,district,name,address,addressGmap,phone,time,type,link,imgName,lineUrl
北部地區,台北市,美萊家居  ,"106台北市大安區羅斯福路二段168號2F,(捷運新店線-古亭站2號出口)",106台北市大安區羅斯福路二段168號2F,(02)23672508,,耳舒適耳塞,,,
北部地區,台北市,微笑藥師藥局,106台北市大安區信義路三段31巷4號(捷運信義線-大安森林公園站1號出口),106台北市大安區信義路三段31巷4號,(02)27009655,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,惠良藥局 ,110台北市大安區和平東路三段93-1號(捷運文湖線-六張犁站),110台北市大安區和平東路三段93-1號,(02)27387872,,耳舒適耳塞,,,
北部地區,台北市,士林慈航藥局,111台北市士林區中正路269號(捷運淡水線-士林站1號出口),111台北市士林區中正路269號,(02)28813168,,耳舒適耳塞,,,
北部地區,台北市,大東健保藥局 ,111台北市士林區大東路86-4號(捷運淡水線-士林站2號出口),111台北市士林區大東路86-4號,(02)28834672,,耳舒適耳塞,,,
北部地區,台北市,覺醒音樂-士林店,111台北市士林區文林路404巷9號B1(捷運淡水線-士林站1號出口),111台北市士林區文林路404巷9號B1,(02)28837893,,耳舒適耳塞,,,
北部地區,台北市,美麗田藥局,111台北市士林區通河街78號(捷運淡水線-劍潭站2號出口),111台北市士林區通河街78號,(02)28855990,,耳舒適耳塞,,,
北部地區,台北市,天養藥局 ,111 台北市士林區中山北路六段262號,111 台北市士林區中山北路六段262號,(02)28387466,,耳舒適耳塞,,,
北部地區,台北市,內湖慈航藥局,114台北市內湖區康寧路三段54巷6號(捷運文湖線-葫洲站2號出口),114台北市內湖區康寧路三段54巷6號,(02)26341000,,耳舒適耳塞,,,
北部地區,台北市,耀元藥局 ,114台北市內湖區康樂街150號1樓(康樂市場),114台北市內湖區康樂街150號1樓,(02)26337369,,耳舒適耳塞,,,
北部地區,台北市,南港慈航藥局,115台北市南港區研究院路一段101巷12號(捷運板南線-南港展覽館站5號出口  ) ,115台北市南港區研究院路一段101巷12號,(02)27892200,,耳舒適耳塞,,,
北部地區,台北市,北一藥師藥局(木新店) ,116 台北市文山區木新路三段47號,116 台北市文山區木新路三段47號,(02)22348686,,耳舒適耳塞,,,
北部地區,台北市,大直藥局 ,104 台北市中山區北安路617號(捷運文湖線-大直站1號出口) ,104 台北市中山區北安路617號,(02)25320522,,耳舒適耳塞,,,
北部地區,台北市,王中興藥局,104台北市中山區龍江路273號(捷運文湖線-中山國中站),104台北市中山區龍江路273號,(02)25034281,,耳舒適耳塞,,,
北部地區,台北市,雙寶居家保健生活館(中山店) ,104台北市中山區民權東路二段70號,104台北市中山區民權東路二段70號,(02)25630910,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,小豬藥局 ,114台北市北投區東陽街403號(捷運淡水線-石牌站2號出口),114台北市北投區東陽街403號,(02)28217099,,耳舒適耳塞,,,
北部地區,台北市,企鵝藥局,108台北市萬華區西昌街175號,108台北市萬華區西昌街175號,(02)23884691,,耳舒適耳塞,,,
北部地區,台北市,丁丁藥局,,,,,耳舒適隨行組,https://www.norbelbaby.com.tw/nec/about?page=stronghold,tingting.png,
北部地區,新北市,長頸鹿藥師藥局,220新北市板橋區忠孝路181號,220新北市板橋區忠孝路181號,(02)29598095,,耳舒適耳塞,,,
北部地區,新北市,探險家戶外用品,220新北市板橋區中山路二段537號,220新北市板橋區中山路二段537號,(02)29629537,,耳舒適耳塞,,,
北部地區,新北市,蘋果樹藥局 ,220新北市板橋區文化路二段225巷72弄60號 ( 捷運板南線 - 江子翠站 1 號出口 ),220新北市板橋區文化路二段225巷72弄60號 ,(02)22555353,,耳舒適耳塞,,,
北部地區,新北市,信美藥局,220新北市板橋區新民街18號7巷18號( 捷運板南線 - 板橋站 2 號出口 ),220新北市板橋區新民街18號7巷18號,(02)29526100,,耳舒適耳塞,,,
北部地區,新北市,宏達大藥局,220新北市板橋區莒光路17號 ( 捷運板南線 - 新埔站 4 號出口 ),220新北市板橋區莒光路17號 ,(02)2257 2345,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,芮櫟藥局(頂埔店),236新北市土城區中央路四段30號 ( 捷運板南線 - 頂埔站 4 號出口 ) ,236新北市土城區中央路四段30號,(02)22677888,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,芮櫟藥局(土醫店),236新北市土城區金城路一段257號 ( 捷運板南線 - 土城站 1 號出口 ),236新北市土城區金城路一段257號,(02)22736777,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,欣珉藥局,236新北市土城區學士路423號 ( 近捷運板南線 - 土城站 ),236新北市土城區學士路423號,(02)82617996,,耳舒適耳塞,,,
北部地區,新北市,北ㄧ藥師藥局(七張店),231新北市新店區北新路二段163號(捷運新店線-七張站),231新北市新店區北新路二段163號,(02)89115685,,耳舒適耳塞,,,
北部地區,新北市,汐止慈航藥局,113新北市汐止區中興路113號,113新北市汐止區中興路113號,(02)26927733,,耳舒適耳塞,,,
北部地區,新北市,有新藥局,237新北市三峽區學勤路18號,237新北市三峽區學勤路18號,(02)26710769,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,雙寶居家保健生活館(嬰兒棒婦幼館),237新北市三峽區復興路461號,237新北市三峽區復興路461號,(02)26721877,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,雙寶居家保健生活館(新北三峽店) ,237新北市三峽區復興路485號,237新北市三峽區復興路485號,(02)26725990,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,雙寶居家保健生活館(新北三峽中山店),237新北市三峽區中山路242號,237新北市三峽區中山路242號,(02)26718059,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,北ㄧ藥師藥局(北大店) ,238新北市樹林區大雅路370號,238新北市樹林區大雅路370號,(02)26688568,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,淡海藥師藥局,251新北市淡水區淡海路85號,251新北市淡水區淡海路85號,(02)28052668,,耳舒適耳塞,,,
北部地區,新北市,四季寶健保藥局,251新北市淡水區新市一路三段117-1號,251新北市淡水區新市一路三段117-1號,(02)26283199,,耳舒適耳塞,,,
北部地區,新北市,三芝藥師藥局,252新北市三芝區中正路一段43號,252新北市三芝區中正路一段43號,(02)86353982,,耳舒適耳塞,,,
北部地區,新北市,鴻泰健保藥局,241新北市三重區重新路一段95號,241新北市三重區重新路一段95號,(02)29769055,,耳舒適耳塞,,,
北部地區,新北市,芮櫟藥局(溪尾店),241新北市三重區仁愛街516號,241新北市三重區仁愛街516號,(02)22809009,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,陽光樂活藥局,248新北市五股區成泰路二段101-2號,248新北市五股區成泰路二段101-2號,(02)22928799,,耳舒適耳塞,,,
北部地區,新北市,福原藥局,243新北市新莊區中原東路70號,243新北市新莊區中原東路70號,(02)85216190,,耳舒適耳塞,,,
北部地區,新北市,健生活藥局(新莊店) ,242新北市新莊區中華路一段234號,242新北市新莊區中華路一段234號,(02)89923222,,耳舒適耳塞,,,
北部地區,新北市,唯恩藥局,244新北市林口區麗園一街9巷1號1F-2,244新北市林口區麗園一街9巷1號1F-2,(02)26005805,,耳舒適耳塞,,,
北部地區,新北市,薆田中藥局,244新北市林口區忠孝路308巷19號,244新北市林口區忠孝路308巷19號,0975-2362382,,耳舒適耳塞,,,
北部地區,新北市,緣來藥師藥局,234新北市永和區福和路250號,234新北市永和區福和路250號,(02)29211798,,耳舒適耳塞,,,
北部地區,新北市,皇家藥師藥局,234新北市永和區中正路720號,234新北市永和區中正路720號,(02)89216867,,耳舒適耳塞,,,
北部地區,新北市,亮點藥局-竹林店,234新北市永和區竹林路71號,234新北市永和區竹林路71號,(02)89253895,,耳舒適耳塞,,,
北部地區,新北市,亮點藥局-中正店,234新北市永和區中正路105號,234新北市永和區中正路105號,(02)89419117,,耳舒適耳塞,,,
北部地區,新北市,健生活藥局(得和店),234新北市永和區得和路237號,234新北市永和區得和路237號,(02)29223222,,耳舒適耳塞,,,
北部地區,新北市,力賀藥局,235新北市中和區連城路7號(捷運環狀線-中和站),235新北市中和區連城路7號,(02)22473247,,耳舒適耳塞,,,
北部地區,新北市,光禾藥局,247新北市蘆洲區民權路122號,247新北市蘆洲區民權路122號,(02)28480050,,耳舒適耳塞,,,
北部地區,新北市,立赫藥局(輔大店),243新北市泰山區貴子路65號,243新北市泰山區貴子路65號,(02)29060306,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,華特藥局,243新北市泰山區明志路一段260號,243新北市泰山區明志路一段260號,(02)29095662,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,新北市,丁丁藥局,,,,,耳舒適耳塞|耳舒適隨行組,https://www.norbelbaby.com.tw/nec/about?page=stronghold,tingting.png,
基宜桃竹苗,基隆市,雅都音樂,200基隆市仁愛區仁二路259號2F,200基隆市仁愛區仁二路259號2F,(02)24252229,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,宜蘭縣,建芳藥局  ,265宜蘭縣羅東鎮民權路31號,265宜蘭縣羅東鎮民權路31號,(03)9543649,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,桃園市,探險家戶外用品,"320桃園市中壢區環中東路675-1號,",320桃園市中壢區環中東路675-1號,(03)4335333,,耳舒適耳塞,,,
基宜桃竹苗,桃園市,懷仁健保藥局 ,320桃園市中壢區中北路93號,320桃園市中壢區中北路93號,(03)4378466,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,桃園市,得康美藥局,326 桃園市楊梅區環南路128號,326 桃園市楊梅區環南路128號,(03)4788128,,耳舒適耳塞,,,
基宜桃竹苗,桃園市,宜康美藥局,3 26  桃園市楊梅區環東路452號,3 26  桃園市楊梅區環東路452號,(03)4883805,,耳舒適耳塞,,,
基宜桃竹苗,桃園市,合康美藥局 ,326  桃園市楊梅區中山北路二段79號,326  桃園市楊梅區中山北路二段79號,(03)4812598,,耳舒適耳塞,,,
基宜桃竹苗,桃園市,大榮藥妝龍潭店,325  桃園市龍潭區凌雲里中豐路上林段2號,325  桃園市龍潭區凌雲里中豐路上林段2號,(03)4797795,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,桃園市,大榮藥妝埔心店,326  桃園市楊梅區瑞溪路二段207號,326  桃園市楊梅區瑞溪路二段207號,(03)4311938,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,桃園市,大廟藥師藥局,330桃園市桃園區中山路158號,330桃園市桃園區中山路158號,(03)3337006,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,桃園市,顆顆藥局,338桃園市蘆竹區中山路127號,338桃園市蘆竹區中山路127號,(03)2223500,,耳舒適耳塞,,,
基宜桃竹苗,桃園市,鴻惠超市(林口長庚醫院-醫學大樓B1) ,333桃園市龜山區復興街9號B1,333桃園市龜山區復興街9號B1,(03)3288317,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,新竹縣,禾坊藥局,302 新竹縣竹北市科大一路85號1F,302 新竹縣竹北市科大一路85號1F,(03)5588797,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,新竹縣,禾樂藥局,302 新竹縣竹北市華興街182號,302 新竹縣竹北市華興街182號,(03)6560559,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,新竹縣,禾心藥局,300 新竹市東區民生路231號,300 新竹市東區民生路231號,(03)5332403,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,新竹市,均祐健康藥局,300新竹市北區中正路389號,300新竹市北區中正路389號,(03)5325369,,耳舒適耳塞,,,
基宜桃竹苗,苗栗縣,吉品藥局(中正店),351苗栗縣頭份市中正路9號,351苗栗縣頭份市中正路9號,(03)7676898,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,苗栗縣,吉品藥局(建國店),351苗栗縣頭份市建國路二段150號,351苗栗縣頭份市建國路二段150號,(03)7672378,,耳舒適耳塞|眼舒適眼罩,,,
基宜桃竹苗,苗栗縣,樂健藥局(悅健耳鼻喉科診所) ,350苗栗縣竹南鎮民權街53-3號,350苗栗縣竹南鎮民權街53-3號,(03)7470988,,耳舒適耳塞|順睡-舒眠噴霧,,,
基宜桃竹苗,,丁丁藥局,,,,,耳舒適耳塞|耳舒適隨行組,https://www.norbelbaby.com.tw/nec/about?page=stronghold,tingting.png,
中部地區,台中市,Chu Mai 趣買網路購物(原統一生機-中清店),406台中市北屯區中清路二段591號,406台中市北屯區中清路二段591號,(04)22993839,星期一至五，9:00~18:00,耳舒適耳塞|響抗噪,,,
中部地區,台中市,探險家戶外用品,406台中市北屯區軍功路二段257號,406台中市北屯區軍功路二段257號, (04)24391000,,耳舒適耳塞,,,
中部地區,台中市,大德安藥局,406台中市北屯區景賢路236號,406台中市北屯區景賢路236號, (04)24378351,,耳舒適耳塞,,,
中部地區,台中市,得安藥局 ,408台中市南屯區大墩路596號,408台中市南屯區大墩路596號,(04)23234168,,眼舒適眼罩|順睡-舒眠噴霧,,,
中部地區,台中市,龍井新庄藥局,434台中市龍井區遊園南路179號,434台中市龍井區遊園南路179號,(04)26313869,,耳舒適耳塞,,,
中部地區,台中市,雙寶居家保健生活館(台中太平店),406台中市太平區環太東路221-5號,406台中市太平區環太東路221-5號,(04)23939348,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,南投縣,環球大藥局,542南投縣草屯鎮中正路753號,542南投縣草屯鎮中正路753號,(049)2356485,,耳舒適耳塞,,,
中部地區,南投縣,廣元藥局  ,540南投縣南投市民族路227號,540南投縣南投市民族路227號,(049)2222601,,耳舒適耳塞,,,
中部地區,彰化縣,唐尼樂器,505彰化縣鹿港鎮民權路280號,505彰化縣鹿港鎮民權路280號,(04)7785897,,耳舒適耳塞,,,
中部地區,嘉義市,杏安藥局,600嘉義市民族路786號,600嘉義市民族路786號,(05)2271727,,耳舒適耳塞|響抗噪,,,
中部地區,嘉義市,弘安藥局(文化店),600嘉義市東區文化路275號,600嘉義市東區文化路275號,(05)2259000,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義市,弘安藥局(民族店) ,600嘉義市東區民族路165號,600嘉義市東區民族路165號,(05)2240101,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義市,弘安藥局(興業店) ,600嘉義市西區興業西路311號,600嘉義市西區興業西路311號,(05)2859275,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義市,弘安藥局(友愛店) ,600嘉義市西區友愛路236號,600嘉義市西區友愛路236號,(05)2919585,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義市,弘安藥局(仁愛店),600嘉義市西區仁愛路393號,600嘉義市西區仁愛路393號,(05)2239000,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義市,弘安藥局(後庄店),600嘉義市東區吳鳳南路298號,600嘉義市東區吳鳳南路298號,(05)2305678,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義縣,信男藥局,613嘉義縣朴子市開元路174號,613嘉義縣朴子市開元路174號,(05)3790099,,耳舒適耳塞,,,
中部地區,嘉義縣,弘安藥局(朴子店) ,613嘉義縣朴子市新進路31號,613嘉義縣朴子市新進路31號,(05)3707000,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義縣,大順藥局,621嘉義縣民雄鄉福樂村埤角139號,621嘉義縣民雄鄉福樂村埤角139號,(05)2201138,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義縣,弘安藥局(民雄店)  ,621嘉義縣民雄鄉建國路一段45號,621嘉義縣民雄鄉建國路一段45號,(05)2060200,,耳舒適耳塞|眼舒適眼罩,,,
中部地區,嘉義縣,弘安藥局(水上店),608 嘉義縣寬士村崎子頭1號附125(勤益蛋品往水上方向),608 嘉義縣寬士村崎子頭1號附125,(05)2858000,,耳舒適耳塞|耳舒適隨行組,,,
中部地區,,丁丁藥局,,,,,耳舒適耳塞|眼舒適眼罩,https://www.norbelbaby.com.tw/nec/about?page=stronghold,tingting.png,
南部地區,台南市,怡林藥局,701台南市東區怡東路165號,701台南市東區怡東路165號,(06)2081688,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,台南市,雙寶居家保健生活館(台南健康店) ,702台南市南區健康路二段360號,702台南市南區健康路二段360號,(06)2633980,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,台南市,欣和德藥局,830台南市新市區中正路200號,830台南市新市區中正路200號,(06)5895658,,耳舒適耳塞,,,
南部地區,高雄市,鳳山服安藥局 ,830高雄市鳳山區中山西路382號,830高雄市鳳山區中山西路382號,(07)7406330,,耳舒適耳塞,,,
南部地區,高雄市,雅歌樂器行,832高雄市林園區林園北路345號,832高雄市林園區林園北路345號,(07)7877230,,耳舒適耳塞,,,
南部地區,高雄市,恩心樂器行  ,831高雄市大寮區三隆路601巷23-3號,831高雄市大寮區三隆路601巷23-3號,(07)7877230,,耳舒適耳塞,,,
南部地區,高雄市,彥芳藥局,806高雄市前鎮區長江街65號,806高雄市前鎮區長江街65號,(07)3302007,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,高雄市,雙寶居家保健生活館(高雄中華店) ,802高雄市苓雅區中華四路135號,802高雄市苓雅區中華四路135號,(07)2692998,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,高雄市,大林藥師藥局 ,900屏東縣屏東市仁愛路59號,900屏東縣屏東市仁愛路59號,(08)7320680,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,高雄市,大林崇大藥局 ,900屏東縣屏東市華盛街7之5號,900屏東縣屏東市華盛街7之5號,(08)7517979,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,高雄市,大林崇蘭藥局,900屏東縣屏東市大同北路98號,900屏東縣屏東市大同北路98號,(08)7323738,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,屏東縣,大林中正藥局,900屏東縣屏東市中正路379-1號,900屏東縣屏東市中正路379-1號,(08)7362376,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,屏東縣,杏林婦嬰藥局 ,913屏東縣萬丹鄉萬丹路一段155號,913屏東縣萬丹鄉萬丹路一段155號,(08)7777791,,耳舒適耳塞|眼舒適眼罩,,,
南部地區,,丁丁藥局,,,,,耳舒適耳塞|耳舒適隨行組,https://www.norbelbaby.com.tw/nec/about?page=stronghold,tingting.png,
東部地區,花蓮市,康馨藥局,970花蓮市鎮國街13號,970花蓮市鎮國街13號,0988-309-023 (03)8325988,,耳舒適耳塞,,,
東部地區,花蓮縣,仁愛藥局,973花蓮縣吉安鄉慶豐村中山路三段280號,973花蓮縣吉安鄉慶豐村中山路三段280號,03-8511635,,耳舒適耳塞,,,
東部地區,台東市,晃成藥局(更生店),950台東市更生路494號,950台東市更生路494號,(089)336981,,耳舒適耳塞,,,
東部地區,台東市,晃成藥局(省三店),950台東市知本路三段597號,950台東市知本路三段597號,(089)514353,,耳舒適耳塞,,,
東部地區,台東市,晃成藥局(漢陽店),950台東市漢陽北路55號,950台東市漢陽北路55號,(089)358309,,耳舒適耳塞,,,
東部地區,台東縣,禾安藥局,950台東縣台東市四維路三段2號,950台東縣台東市四維路三段2號,(089)223111,,耳舒適耳塞,,,
東部地區,,丁丁藥局,,,,,耳舒適耳塞|耳舒適隨行組,https://www.norbelbaby.com.tw/nec/about?page=stronghold,tingting.png,
海外地區,,笨象生活 ,香港九龍荔枝角青山道658號福至工業大廈11樓A1106室(敬請預約),香港九龍荔枝角青山道658號福至工業大廈11樓A1106室,聯絡電話/whatsapp：(852)68003073,,耳舒適耳塞|眼舒適眼罩,,,
海外地區,,LOG-ON 全線門市有售(新城市廣場POPUPStore除外),,,,,耳舒適耳塞|眼舒適眼罩,https://logon.com.hk/pages/store-locator,,
